age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
39,technician,single,professional.course,unknown,yes,no,telephone,may,fri,1,999,0,nonexistent,-0.3,93.467,-41.3,2.666,5100.4
68,technician,divorced,university.degree,no,no,no,telephone,may,tue,2,999,1,nonexistent,-0.7,92.417,-44.2,3.773,5159.8
30,blue-collar,single,basic.9y,no,yes,no,cellular,aug,mon,1,19,0,success,-2.7,92.826,-29.6,1.298,5157.0
79,admin.,married,basic.4y,no,no,no,telephone,nov,tue,4,999,0,success,1.1,94.366,-46.3,0.843,5170.7
74,admin.,single,university.degree,unknown,yes,no,telephone,may,mon,3,999,0,nonexistent,-2.0,93.837,-48.8,1.244,5114.3
46,unemployed,married,university.degree,no,yes,no,telephone,apr,mon,1,999,0,nonexistent,-0.6,93.867,-42.6,4.687,4991.3
22,technician,divorced,basic.4y,unknown,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.0,93.921,-33.6,0.675,5202.7
96,unemployed,married,basic.4y,no,yes,no,cellular,nov,fri,1,999,0,failure,-0.3,94.159,-31.5,1.465,5192.5
53,admin.,single,basic.9y,unknown,yes,no,cellular,may,mon,1,999,0,nonexistent,1.1,92.35,-26.9,0.772,5174.7
90,technician,married,basic.4y,no,yes,no,cellular,may,mon,1,16,0,nonexistent,-2.7,93.142,-43.7,1.122,4990.0
72,admin.,married,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-1.0,93.585,-41.1,3.369,5017.7
80,blue-collar,single,high.school,unknown,yes,yes,cellular,may,wed,5,999,0,nonexistent,-1.5,93.069,-47.5,1.7,5160.3
79,admin.,single,professional.course,no,no,no,cellular,aug,thu,2,999,0,nonexistent,-1.1,94.368,-37.1,3.145,4969.7
32,admin.,married,university.degree,no,yes,no,cellular,jun,thu,6,11,0,success,-2.8,93.439,-27.0,3.237,5222.6
46,housemaid,divorced,professional.course,no,no,no,telephone,may,fri,4,999,1,success,-2.8,94.173,-34.0,4.381,5063.4
55,blue-collar,single,high.school,no,no,no,cellular,nov,thu,3,999,0,failure,-2.1,94.387,-36.6,0.655,5153.9
57,technician,married,professional.course,no,yes,no,cellular,apr,wed,4,999,0,nonexistent,-1.9,93.496,-41.4,4.398,5198.4
20,blue-collar,married,high.school,no,no,no,telephone,jun,thu,2,999,0,nonexistent,-1.3,94.535,-28.9,3.365,5068.0
61,blue-collar,married,high.school,no,no,unknown,telephone,jul,wed,2,999,0,nonexistent,-0.5,93.708,-38.9,1.352,5048.0
29,technician,single,university.degree,unknown,no,no,telephone,nov,tue,1,999,0,nonexistent,-0.4,94.383,-47.6,4.043,5124.6
77,admin.,married,university.degree,no,yes,no,telephone,aug,wed,1,999,0,nonexistent,-1.4,93.075,-42.1,4.408,5117.3
73,student,married,professional.course,no,yes,no,telephone,jun,mon,4,999,0,nonexistent,-1.4,93.481,-49.2,1.756,5071.8
92,retired,divorced,university.degree,no,yes,no,cellular,nov,thu,1,999,1,nonexistent,-2.4,93.565,-46.0,4.687,5122.8
78,management,divorced,university.degree,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-0.6,92.47,-50.4,2.639,5211.0
47,blue-collar,single,university.degree,no,unknown,no,cellular,may,mon,1,999,0,nonexistent,-1.9,93.224,-40.0,3.296,5087.3
96,admin.,divorced,university.degree,unknown,no,no,cellular,may,tue,2,999,0,nonexistent,-3.2,94.555,-35.6,4.977,5015.6
50,housemaid,single,basic.4y,unknown,yes,no,telephone,may,fri,1,999,0,nonexistent,-1.4,93.82,-42.6,2.229,5063.4
43,blue-collar,single,high.school,no,no,unknown,cellular,aug,tue,2,999,0,nonexistent,-1.1,92.656,-40.8,4.221,5067.8
91,admin.,single,unknown,no,yes,no,cellular,aug,thu,4,999,1,nonexistent,-2.3,93.071,-27.9,2.038,4998.3
47,blue-collar,married,university.degree,no,no,yes,cellular,aug,fri,3,999,0,nonexistent,-0.7,92.693,-32.8,4.159,5006.7
23,management,married,basic.9y,no,yes,no,cellular,jul,mon,3,17,0,nonexistent,-0.7,92.265,-37.9,3.284,5144.7
55,technician,married,high.school,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.0,94.581,-44.0,1.588,5053.4
82,management,single,high.school,no,no,no,cellular,apr,tue,3,999,1,nonexistent,-0.3,93.351,-29.4,2.46,5216.2
32,management,married,basic.4y,no,yes,no,telephone,may,tue,1,999,0,nonexistent,-0.3,92.99,-45.2,2.035,5028.0
54,admin.,married,unknown,no,yes,no,cellular,jun,thu,1,999,0,nonexistent,-1.9,93.737,-43.0,0.979,4989.8
27,housemaid,married,basic.4y,no,no,no,telephone,jun,fri,1,1,1,nonexistent,0.4,92.22,-29.1,0.766,5162.9
73,blue-collar,married,university.degree,no,yes,no,telephone,aug,tue,1,999,1,nonexistent,-0.8,92.914,-38.1,2.162,5196.6
56,services,married,university.degree,no,no,yes,cellular,may,wed,2,10,1,nonexistent,-1.3,94.005,-33.1,0.718,5037.2
44,admin.,single,basic.9y,no,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.4,93.827,-36.7,1.364,5017.1
35,unknown,single,university.degree,no,no,no,telephone,sep,wed,1,999,0,nonexistent,-1.7,94.72,-35.2,3.833,5012.7
63,blue-collar,married,professional.course,no,yes,no,cellular,jun,thu,1,999,0,nonexistent,-0.9,93.793,-43.6,3.757,5101.7
71,admin.,married,basic.9y,no,yes,no,telephone,apr,thu,5,999,0,nonexistent,0.1,93.426,-45.0,3.892,5087.5
94,blue-collar,married,basic.9y,no,yes,yes,cellular,dec,thu,2,999,0,nonexistent,0.9,94.155,-43.1,2.033,5032.2
52,admin.,single,basic.4y,no,no,no,telephone,jul,mon,3,999,0,nonexistent,1.0,94.519,-47.1,4.56,4975.5
30,admin.,single,professional.course,no,yes,no,telephone,aug,thu,1,2,0,nonexistent,-1.0,94.05,-29.9,3.253,5091.0
85,services,married,university.degree,unknown,yes,no,cellular,jul,thu,4,999,0,nonexistent,-0.9,94.673,-44.0,1.19,5217.3
68,blue-collar,single,university.degree,unknown,yes,no,cellular,dec,thu,3,11,0,nonexistent,0.4,94.208,-37.4,1.268,5136.2
74,housemaid,married,basic.9y,no,no,no,telephone,may,mon,1,999,0,nonexistent,-1.9,94.425,-31.9,3.691,5094.7
24,blue-collar,married,high.school,no,yes,no,cellular,jul,wed,10,999,1,nonexistent,0.6,92.494,-32.1,1.397,4992.9
42,services,unknown,university.degree,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-1.0,94.08,-40.3,2.872,5030.4
79,blue-collar,married,high.school,unknown,no,no,cellular,may,mon,3,999,2,failure,-2.8,93.33,-39.4,5.009,5041.6
85,services,married,professional.course,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-3.1,93.62,-27.0,0.652,5165.9
52,technician,married,basic.4y,unknown,no,no,telephone,jul,wed,2,999,0,nonexistent,0.6,93.879,-34.7,0.707,5195.5
82,technician,single,basic.9y,no,no,no,telephone,mar,thu,1,999,1,failure,-3.1,94.69,-31.3,5.014,5202.1
86,unemployed,divorced,high.school,no,no,no,cellular,apr,tue,3,999,0,nonexistent,-2.1,94.727,-29.2,3.213,5224.0
48,blue-collar,divorced,university.degree,no,yes,yes,telephone,may,fri,1,999,0,nonexistent,-1.8,92.941,-32.0,1.194,5223.4
90,admin.,married,high.school,no,no,no,cellular,jun,wed,2,999,1,nonexistent,-2.6,94.084,-46.4,4.592,5215.7
40,services,married,high.school,no,no,no,cellular,jul,thu,1,22,0,nonexistent,-1.9,94.125,-37.4,4.517,4982.6
36,entrepreneur,single,basic.9y,no,no,yes,cellular,aug,wed,2,999,0,nonexistent,0.2,93.09,-48.4,2.999,5000.0
72,admin.,married,basic.9y,no,no,no,telephone,jun,wed,1,999,0,nonexistent,-3.3,92.519,-35.2,3.377,5044.1
69,blue-collar,single,university.degree,unknown,no,no,cellular,nov,thu,2,999,0,failure,0.6,92.306,-28.0,1.839,5109.8
28,self-employed,single,university.degree,no,no,no,cellular,may,fri,1,999,1,nonexistent,0.7,94.196,-38.5,0.857,4989.3
